"","ID","description","temp","sunset","sunrise","epochTime","code","city","date"
"2958","53b7600a-c021-11e8-882a-c622a729cc2e","Cloudy",6,"7:29 pm","7:24 am",1537811000.58,"26","Red Deer",2018-09-24 11:43:20
"2959","a954cbb4-b4ab-11e8-b80d-52143dec33ac","Clear",9,"8:5 pm","7:0 am",1536551000.81,"31","Red Deer",2018-09-09 21:43:20
"2960","af24f1dc-b0a4-11e8-b4b3-feb107bf9727","Partly Cloudy",12,"8:17 pm","6:48 am",1536108199.44,"30","Edmonton",2018-09-04 18:43:19
"2961","38850438-addc-11e8-9da6-52b2d3f94efd","Cloudy",11,"8:24 pm","6:43 am",1535802198.75,"26","Edmonton",2018-09-01 05:43:18
"2962","c256e046-b197-11e8-a579-326888e70454","Partly Cloudy",11,"8:15 pm","6:50 am",1536212599.35,"29","Edmonton",2018-09-05 23:43:19
"2963","a1ad5f70-abaa-11e8-87c5-2e550193c182","Partly Cloudy",18,"8:22 pm","6:42 am",1535560998.01,"30","Lethbridge",2018-08-29 10:43:18
"2964","aa70568c-c54d-11e8-93d5-e22a4836f305","Cloudy",-2,"7:13 pm","7:36 am",1538379799.74,"26","Red Deer",2018-10-01 01:43:19
"2965","62cb4abe-b529-11e8-9a9e-3a57690bc81d","Showers",8,"8:2 pm","6:59 am",1536604999.06,"11","Edmonton",2018-09-10 12:43:19
"2966","19bea020-b040-11e8-92d7-a6aa23150927","Partly Cloudy",6,"8:9 pm","6:51 am",1536064999.11,"29","Lethbridge",2018-09-04 06:43:19
"2967","18aa0360-ae73-11e8-9eac-c68c271fd25e","Partly Cloudy",8,"8:24 pm","6:43 am",1535866999.31,"29","Edmonton",2018-09-01 23:43:19
"2968","45e7e79e-b4a3-11e8-b80d-52143dec33ac","Partly Cloudy",12,"8:4 pm","7:2 am",1536547398.03,"30","Calgary",2018-09-09 20:43:18
"2969","866523f2-bbc6-11e8-b052-ce2c18b46326","Cloudy",5,"7:44 pm","7:16 am",1537332196.75,"26","Calgary",2018-09-18 22:43:16
"2970","ec6d777e-b8e4-11e8-b919-02fd58f15880","Cloudy",1,"7:50 pm","7:7 am",1537015399.35,"26","Edmonton",2018-09-15 06:43:19
"2971","9572a9b8-ba3c-11e8-b1c1-3ee927ef7a29","Cloudy",2,"7:48 pm","7:11 am",1537163000.29,"26","Red Deer",2018-09-16 23:43:20
"2972","d7cd9858-a9ee-11e8-ae5e-fe8c1293f210","Rain",8,"8:26 pm","6:39 am",1535370392.27,"12","Lethbridge",2018-08-27 05:46:32
"2973","924c53c4-b01e-11e8-92d7-a6aa23150927","Partly Cloudy",5,"8:17 pm","6:48 am",1536050598.48,"29","Edmonton",2018-09-04 02:43:18
"2974","39404f92-b460-11e8-954d-0ed6142a1cfe","Mostly Cloudy",13,"8:5 pm","7:0 am",1536518600.52,"28","Red Deer",2018-09-09 12:43:20
"2975","96123a8a-b3b8-11e8-a631-1e41d851fb68","Sunny",18,"8:7 pm","6:58 am",1536446600.79,"32","Red Deer",2018-09-08 16:43:20
"2976","447b20fc-c82f-11e8-a19b-820e686a87ec","Partly Cloudy",-1,"7:8 pm","7:41 am",1538696597.27,"30","Calgary",2018-10-04 17:43:17
"2977","f81acfc6-b75a-11e8-8ca0-ceda79ebd692","Cloudy",0,"7:55 pm","7:8 am",1536846197.22,"26","Calgary",2018-09-13 07:43:17
"2978","c645b88a-c5d3-11e8-ac76-5e84cbe86f16","Cloudy",3,"7:11 pm","7:36 am",1538437399,"26","Edmonton",2018-10-01 17:43:19
"2979","93420858-bef3-11e8-9d7d-62f3eb6f5f8f","Cloudy",0,"7:33 pm","7:20 am",1537681399.17,"26","Edmonton",2018-09-22 23:43:19
"2980","c5773524-aead-11e8-a8f0-92ec0da79284","Mostly Cloudy",4,"8:21 pm","6:48 am",1535892200.03,"27","Red Deer",2018-09-02 06:43:20
"2981","7dc17aba-b5af-11e8-848f-96017969637d","Mostly Cloudy",3,"8:0 pm","7:5 am",1536662596.85,"27","Calgary",2018-09-11 04:43:16
"2982","b3dfd222-c6ad-11e8-9ae6-aa048205402a","Cloudy",0,"7:9 pm","7:37 am",1538530998.42,"26","Edmonton",2018-10-02 19:43:18
"2983","2cb06a60-c008-11e8-882a-c622a729cc2e","Showers",5,"7:26 pm","7:21 am",1537800197.68,"11","Lethbridge",2018-09-24 08:43:17
"2984","abe2f446-c8e7-11e8-8be9-ee8b2f46bc6b","Partly Cloudy",3,"7:5 pm","7:43 am",1538775798.16,"30","Calgary",2018-10-05 15:43:18
"2985","fbb01ffa-adec-11e8-9da6-52b2d3f94efd","Mostly Cloudy",15,"8:15 pm","6:47 am",1535809398.13,"28","Lethbridge",2018-09-01 07:43:18
"2986","37308108-ac0f-11e8-aedd-7a2372363a2c","Mostly Cloudy",24,"8:22 pm","6:42 am",1535604198.52,"28","Lethbridge",2018-08-29 22:43:18
"2987","cdc35b12-ae40-11e8-9eac-c68c271fd25e","Partly Cloudy",16,"8:22 pm","6:49 am",1535845398.81,"30","Calgary",2018-09-01 17:43:18
"2988","c832e8b2-b8cb-11e8-b919-02fd58f15880","Cloudy",2,"7:50 pm","7:9 am",1537004601.15,"26","Red Deer",2018-09-15 03:43:21
"2989","627f3064-aea5-11e8-a8f0-92ec0da79284","Partly Cloudy",6,"8:13 pm","6:48 am",1535888598.01,"29","Lethbridge",2018-09-02 05:43:18
"2990","269c15b8-b36d-11e8-9c97-62c5c9819d23","Cloudy",17,"7:52 pm","6:48 am",1536414201.54,"26","Medicine Hat",2018-09-08 07:43:21
"2991","c1f81966-be9f-11e8-b5e4-769102d74736","Cloudy",0,"7:34 pm","7:21 am",1537645399.81,"26","Red Deer",2018-09-22 13:43:19
"2992","064fd2f6-ad80-11e8-b37c-7a41d0964997","Mostly Cloudy",20,"8:25 pm","6:45 am",1535762600.81,"28","Red Deer",2018-08-31 18:43:20
"2993","b1842b48-c146-11e8-b9c4-0695ac9baeea","Partly Cloudy",7,"7:14 pm","7:13 am",1537937000.49,"29","Medicine Hat",2018-09-25 22:43:20
"2994","1e4ec2dc-af23-11e8-9f8e-5ebfc7b70ef6","Mostly Sunny",15,"8:5 pm","6:39 am",1535942600.2,"34","Medicine Hat",2018-09-02 20:43:20
"2995","ea9de8ee-b717-11e8-855d-76084866ebfd","Cloudy",3,"7:58 pm","7:7 am",1536817398.31,"26","Calgary",2018-09-12 23:43:18
"2996","d6459ac2-b28a-11e8-ab0a-1e678d4a9ebc","Clear",11,"8:9 pm","6:56 am",1536317000.49,"31","Red Deer",2018-09-07 04:43:20
"2997","14d86842-be65-11e8-93f9-d6d424f185df","Cloudy",5,"7:30 pm","7:18 am",1537620198.55,"26","Lethbridge",2018-09-22 06:43:18
"2998","78069778-c03a-11e8-b120-2e7f0493d70c","Mostly Cloudy",8,"7:28 pm","7:23 am",1537821798.91,"28","Edmonton",2018-09-24 14:43:18
"2999","614b8e14-acd8-11e8-b92e-529bbd3d25d4","Mostly Cloudy",12,"8:27 pm","6:46 am",1535690598.01,"27","Calgary",2018-08-30 22:43:18
"3000","a1c98332-c787-11e8-ad31-c25a097bfbe8","Cloudy",-5,"7:10 pm","7:40 am",1538624598.37,"26","Calgary",2018-10-03 21:43:18
